symbol,rule,signal_date,eligible_date,days_to_eligible,holder_class,confidence,basis
115AFIL28A,lockin_expiry_anchor_30d,2026-07-17,2026-08-16,9,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
RFBL,lockin_expiry_anchor_90d,2026-05-19,2026-08-17,10,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
AJAXENGG,lockin_expiry_mpc,2025-02-17,2026-08-17,10,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
CHANDAN,lockin_expiry_mpc,2025-02-17,2026-08-17,10,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
GICL,lockin_expiry_non_promoter_6m,2026-02-18,2026-08-18,11,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
GICL,lockin_expiry_promoter_excess_6m,2026-02-18,2026-08-18,11,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
GICL,lockin_expiry_aif_vcf_6m,2026-02-18,2026-08-18,11,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
MARUSHIKA,lockin_expiry_non_promoter_6m,2026-02-19,2026-08-19,12,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
MARUSHIKA,lockin_expiry_promoter_excess_6m,2026-02-19,2026-08-19,12,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
MARUSHIKA,lockin_expiry_aif_vcf_6m,2026-02-19,2026-08-19,12,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
HEXT,lockin_expiry_mpc,2025-02-19,2026-08-19,12,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
VOLERCAR,lockin_expiry_mpc,2025-02-19,2026-08-19,12,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
PSRAJ,lockin_expiry_mpc,2025-02-19,2026-08-19,12,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
MAXVOLT,lockin_expiry_mpc,2025-02-19,2026-08-19,12,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SILGOPP,lockin_expiry_non_promoter_6m,2026-02-19,2026-08-19,12,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SILGOPP,lockin_expiry_promoter_excess_6m,2026-02-19,2026-08-19,12,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SILGOPP,lockin_expiry_aif_vcf_6m,2026-02-19,2026-08-19,12,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
ALPINETEX,lockin_expiry_anchor_30d,2026-07-21,2026-08-20,13,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
SBIFUNDS,lockin_expiry_anchor_30d,2026-07-21,2026-08-20,13,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
CMLL,lockin_expiry_anchor_30d,2026-07-24,2026-08-23,16,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
NFPSAMPOOR,lockin_expiry_anchor_90d,2026-05-25,2026-08-23,16,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
TEAMTECH,lockin_expiry_anchor_90d,2026-05-26,2026-08-24,17,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
QPOWER,lockin_expiry_mpc,2025-02-24,2026-08-24,17,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
ROYALARC,lockin_expiry_mpc,2025-02-24,2026-08-24,17,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
TEJASCARGO,lockin_expiry_mpc,2025-02-24,2026-08-24,17,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
METALIC,lockin_expiry_anchor_30d,2026-07-28,2026-08-27,20,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
QLINE,lockin_expiry_anchor_90d,2026-05-29,2026-08-27,20,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
BMLL,lockin_expiry_anchor_90d,2026-05-29,2026-08-27,20,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
GAUDIUMIVF,lockin_expiry_non_promoter_6m,2026-02-27,2026-08-27,20,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
GAUDIUMIVF,lockin_expiry_promoter_excess_6m,2026-02-27,2026-08-27,20,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
GAUDIUMIVF,lockin_expiry_aif_vcf_6m,2026-02-27,2026-08-27,20,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
MANILAM,lockin_expiry_non_promoter_6m,2026-02-27,2026-08-27,20,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
MANILAM,lockin_expiry_promoter_excess_6m,2026-02-27,2026-08-27,20,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
MANILAM,lockin_expiry_aif_vcf_6m,2026-02-27,2026-08-27,20,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
915ICFL28A,lockin_expiry_anchor_30d,2026-07-28,2026-08-27,20,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
HPTL,lockin_expiry_mpc,2025-02-28,2026-08-28,21,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
XTRANET,lockin_expiry_anchor_30d,2026-07-30,2026-08-29,22,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
INDOMIM,lockin_expiry_anchor_30d,2026-07-30,2026-08-29,22,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
LCL,lockin_expiry_anchor_30d,2026-07-30,2026-08-29,22,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
CUBEINVIT,lockin_expiry_anchor_30d,2026-07-31,2026-08-30,23,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
PROPSHOP,lockin_expiry_anchor_30d,2026-08-03,2026-09-02,26,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
SRTL,lockin_expiry_non_promoter_6m,2026-03-02,2026-09-02,26,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SRTL,lockin_expiry_promoter_excess_6m,2026-03-02,2026-09-02,26,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
SRTL,lockin_expiry_aif_vcf_6m,2026-03-02,2026-09-02,26,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
CLEANMAX,lockin_expiry_non_promoter_6m,2026-03-02,2026-09-02,26,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
CLEANMAX,lockin_expiry_promoter_excess_6m,2026-03-02,2026-09-02,26,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
CLEANMAX,lockin_expiry_aif_vcf_6m,2026-03-02,2026-09-02,26,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
MOBILISE,lockin_expiry_non_promoter_6m,2026-03-02,2026-09-02,26,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
MOBILISE,lockin_expiry_promoter_excess_6m,2026-03-02,2026-09-02,26,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
MOBILISE,lockin_expiry_aif_vcf_6m,2026-03-02,2026-09-02,26,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
MANIPALHOS,lockin_expiry_anchor_30d,2026-08-05,2026-09-04,28,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
PNGSREVA,lockin_expiry_non_promoter_6m,2026-03-04,2026-09-04,28,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
PNGSREVA,lockin_expiry_promoter_excess_6m,2026-03-04,2026-09-04,28,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
PNGSREVA,lockin_expiry_aif_vcf_6m,2026-03-04,2026-09-04,28,investor,high,SEBI ICDR 2018 lock-in schedule from allotment
129DCCL28,lockin_expiry_anchor_30d,2026-08-05,2026-09-04,28,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
904NACL28,lockin_expiry_anchor_30d,2026-08-05,2026-09-04,28,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
JNPR,lockin_expiry_anchor_30d,2026-08-06,2026-09-05,29,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
MVELECTRO,lockin_expiry_anchor_30d,2026-08-06,2026-09-05,29,anchor,high,SEBI ICDR 2018 lock-in schedule from allotment
OMNI,lockin_expiry_non_promoter_6m,2026-03-05,2026-09-05,29,non_promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
OMNI,lockin_expiry_promoter_excess_6m,2026-03-05,2026-09-05,29,promoter,high,SEBI ICDR 2018 lock-in schedule from allotment
